payment_method,failure_code,amount,attempt_number,customer_failure_count,merchant_failure_rate,transaction_hour,is_international,previous_success,recovery_probability
UPI,EXPIRED_CARD,28428,4,2,0.05,4,1,0,0.05684395741948572
UPI,INSUFFICIENT_FUNDS,47768,1,2,0.09,10,1,1,0.23406239421332012
NETBANKING,NETWORK_ERROR,46421,3,0,0.22,22,1,0,0.6521431040750223
NETBANKING,BANK_TIMEOUT,41682,1,1,0.08,12,0,0,0.7085286046788957
UPI,EXPIRED_CARD,12362,4,2,0.07,20,0,0,0.01
UPI,EXPIRED_CARD,36651,2,5,0.1,13,1,1,0.02310263841144663
UPI,FRAUD_SUSPECTED,31834,2,2,0.42,9,1,1,0.039674617670496924
CARD,ACCOUNT_BLOCKED,23504,4,2,0.06,3,1,1,0.05693621430335411
CARD,INSUFFICIENT_FUNDS,43512,4,0,0.1,10,0,1,0.17969685807681773
NETBANKING,GATEWAY_TIMEOUT,31802,4,4,0.21,7,0,1,0.5057923865523095
UPI,INVALID_CARD,4084,3,2,0.34,13,1,1,0.01
CARD,BANK_TIMEOUT,17684,4,5,0.12,20,0,1,0.5327636346592095
UPI,ACCOUNT_BLOCKED,11014,2,5,0.06,19,1,0,0.02049612055701562
UPI,BANK_TIMEOUT,24950,1,5,0.17,11,0,0,0.604864899851727
CARD,INVALID_ACCOUNT,13104,2,4,0.2,22,0,1,0.040128539473864556
CARD,FRAUD_SUSPECTED,27192,2,4,0.37,0,0,0,0.03551218117799996
NETBANKING,NETWORK_ERROR,32966,4,3,0.03,9,1,0,0.4700005239185359
NETBANKING,INSUFFICIENT_FUNDS,2313,3,5,0.07,12,1,0,0.04482958866694995
CARD,NETWORK_ERROR,5115,1,4,0.36,23,1,0,0.5654741783906907
NETBANKING,ACCOUNT_BLOCKED,10051,1,5,0.3,12,0,1,0.038477175774966725
CARD,INVALID_ACCOUNT,48824,1,2,0.14,6,0,1,0.092926238876619
NETBANKING,EXPIRED_CARD,24779,3,3,0.06,13,1,1,0.01
NETBANKING,INVALID_ACCOUNT,33300,2,3,0.02,15,1,1,0.03627003829671547
NETBANKING,NETWORK_ERROR,29739,2,4,0.49,12,0,1,0.5879821626520204
NETBANKING,NETWORK_ERROR,42227,3,2,0.08,20,0,0,0.6080885423192797
UPI,EXPIRED_CARD,38989,2,0,0.08,19,1,0,0.01
CARD,CARD_DECLINED,27091,3,5,0.18,4,0,1,0.07089976007142092
NETBANKING,INVALID_CARD,465,3,5,0.11,17,1,1,0.01
NETBANKING,INSUFFICIENT_FUNDS,21191,4,5,0.25,17,0,0,0.01
UPI,INVALID_CARD,8441,1,1,0.26,3,0,0,0.03776012598704485
UPI,BANK_TIMEOUT,27899,4,1,0.32,16,1,0,0.5528993433074765
NETBANKING,INVALID_CARD,26275,1,2,0.07,9,1,1,0.03451004872437202
CARD,ACCOUNT_BLOCKED,42712,2,1,0.15,21,0,1,0.026937978420047318
CARD,EXPIRED_CARD,30435,2,2,0.46,23,0,0,0.012437845405251847
CARD,BANK_TIMEOUT,20920,4,1,0.08,2,0,1,0.6521464632061679
UPI,NETWORK_ERROR,35340,4,2,0.06,19,1,0,0.48067720016125787
NETBANKING,INVALID_ACCOUNT,14913,3,5,0.02,6,1,1,0.042075443052881
CARD,ACCOUNT_BLOCKED,47896,3,2,0.32,12,1,0,0.01
UPI,NETWORK_ERROR,47984,2,2,0.1,18,0,0,0.6796884481030089
NETBANKING,INVALID_CARD,21737,3,5,0.44,21,1,0,0.01
UPI,INSUFFICIENT_FUNDS,6085,2,1,0.09,0,1,0,0.2205953342093841
UPI,GATEWAY_TIMEOUT,33635,4,3,0.34,10,1,0,0.44007728922377903
CARD,INVALID_CARD,25366,4,2,0.16,16,1,0,0.048328560892776394
UPI,GATEWAY_TIMEOUT,41634,3,5,0.08,13,1,1,0.5515099754549303
CARD,NETWORK_ERROR,36662,4,5,0.18,0,1,1,0.49907447832080654
CARD,INVALID_CARD,14110,2,3,0.19,23,0,0,0.01
NETBANKING,INSUFFICIENT_FUNDS,467,3,2,0.06,11,1,0,0.11467744141297623
UPI,CARD_DECLINED,42152,4,3,0.03,22,1,1,0.05952704117985588
NETBANKING,BANK_TIMEOUT,47156,4,4,0.32,15,0,1,0.5429935998580879
NETBANKING,INVALID_ACCOUNT,6908,1,2,0.02,22,0,0,0.07509132213215762
UPI,NETWORK_ERROR,27597,1,0,0.23,22,0,1,0.7567475460603016
NETBANKING,CARD_DECLINED,12825,1,2,0.42,10,0,1,0.24963404495579836
NETBANKING,INVALID_CARD,27387,1,0,0.1,16,0,1,0.06839687002642843
CARD,BANK_TIMEOUT,18156,2,5,0.26,5,0,1,0.6013763139252062
CARD,NETWORK_ERROR,22477,4,4,0.42,2,1,0,0.38962616902441616
UPI,GATEWAY_TIMEOUT,47911,1,1,0.17,20,0,0,0.751873667873769
UPI,FRAUD_SUSPECTED,30269,1,5,0.47,9,0,0,0.01
CARD,CARD_DECLINED,11765,3,1,0.29,13,0,0,0.11827994239596172
UPI,GATEWAY_TIMEOUT,19428,3,5,0.23,2,1,1,0.554869616421769
CARD,INVALID_ACCOUNT,29569,2,0,0.48,18,1,0,0.013794878399902058
UPI,INVALID_CARD,22835,3,1,0.18,16,1,0,0.011327245513654499
UPI,CARD_DECLINED,14403,4,2,0.03,3,0,1,0.10098152818325667
NETBANKING,FRAUD_SUSPECTED,24497,4,5,0.3,1,1,0,0.0229472079566748
UPI,GATEWAY_TIMEOUT,27717,4,2,0.17,3,0,1,0.5736275629719687
CARD,INVALID_ACCOUNT,12300,1,3,0.41,14,1,1,0.01
UPI,CARD_DECLINED,47506,3,4,0.18,21,1,1,0.01
UPI,INVALID_ACCOUNT,7168,4,3,0.39,18,1,0,0.01
UPI,CARD_DECLINED,39215,2,4,0.38,4,1,0,0.0790325127917518
CARD,GATEWAY_TIMEOUT,22782,4,3,0.09,0,0,0,0.5592954740316186
CARD,CARD_DECLINED,5367,2,1,0.43,13,0,0,0.14241379368656396
NETBANKING,FRAUD_SUSPECTED,424,4,1,0.18,15,1,0,0.051283304596175215
NETBANKING,INVALID_CARD,30474,2,0,0.2,10,0,1,0.07732604393892874
CARD,INVALID_CARD,39220,4,4,0.05,15,0,0,0.048558812892826146
UPI,INSUFFICIENT_FUNDS,24291,3,2,0.26,0,1,0,0.06855772685265053
UPI,EXPIRED_CARD,12418,1,1,0.16,2,1,1,0.08940449349572932
CARD,GATEWAY_TIMEOUT,18775,3,3,0.34,15,0,1,0.6718512745462486
CARD,GATEWAY_TIMEOUT,10817,4,5,0.26,3,1,0,0.4286286868200194
NETBANKING,NETWORK_ERROR,43083,4,0,0.09,4,1,1,0.5821588659034218
NETBANKING,INVALID_CARD,27786,1,2,0.22,23,0,1,0.03820615858795146
CARD,FRAUD_SUSPECTED,35163,3,0,0.39,13,1,0,0.01
CARD,ACCOUNT_BLOCKED,16997,2,4,0.41,23,1,1,0.01
CARD,BANK_TIMEOUT,8065,4,3,0.19,19,1,1,0.553570253713028
NETBANKING,CARD_DECLINED,1642,3,1,0.15,13,0,1,0.1874632550013686
NETBANKING,BANK_TIMEOUT,39144,1,2,0.37,17,1,0,0.6105233647853484
NETBANKING,NETWORK_ERROR,8361,2,5,0.25,8,1,1,0.6138991961011597
UPI,INVALID_ACCOUNT,37394,4,0,0.05,11,0,0,0.020935349000128604
NETBANKING,NETWORK_ERROR,25129,1,2,0.46,23,1,1,0.6740739588010187
UPI,CARD_DECLINED,47390,1,3,0.48,6,1,1,0.16355814715775818
NETBANKING,INSUFFICIENT_FUNDS,45598,1,2,0.29,6,1,1,0.2256869792706246
UPI,CARD_DECLINED,32970,1,4,0.21,5,1,1,0.09950510496436266
UPI,BANK_TIMEOUT,27253,2,2,0.14,19,1,0,0.5881323685532992
UPI,FRAUD_SUSPECTED,14587,1,4,0.15,22,1,1,0.023477266278289825
CARD,INVALID_ACCOUNT,25596,4,4,0.02,10,1,1,0.04226287025539805
UPI,EXPIRED_CARD,48765,4,1,0.27,5,1,1,0.01
NETBANKING,ACCOUNT_BLOCKED,5251,4,4,0.49,2,0,1,0.01
CARD,EXPIRED_CARD,44304,4,0,0.09,18,0,1,0.01648924367988914
CARD,BANK_TIMEOUT,49342,3,4,0.37,7,1,0,0.47084288436705
UPI,NETWORK_ERROR,26035,2,1,0.5,18,1,0,0.646489328860579
NETBANKING,INVALID_CARD,36149,4,2,0.38,13,1,1,0.037049967172126975
NETBANKING,NETWORK_ERROR,43631,3,4,0.27,12,0,1,0.5724833214259358
CARD,CARD_DECLINED,29555,2,1,0.21,0,1,1,0.2046190612705578
NETBANKING,NETWORK_ERROR,25223,4,3,0.21,20,0,0,0.47285720417626653
NETBANKING,INVALID_ACCOUNT,5376,4,0,0.17,7,0,1,0.028436306037728808
CARD,BANK_TIMEOUT,48790,4,4,0.26,6,0,1,0.5109064321540744
UPI,GATEWAY_TIMEOUT,31044,2,2,0.07,2,0,0,0.6607602248349633
CARD,INSUFFICIENT_FUNDS,44905,4,1,0.4,14,0,1,0.13720854589354672
UPI,INSUFFICIENT_FUNDS,30391,1,0,0.38,21,1,1,0.288216897059467
UPI,INVALID_CARD,17141,1,5,0.39,20,0,1,0.01
NETBANKING,BANK_TIMEOUT,19299,4,5,0.39,11,1,1,0.47385885377781356
UPI,NETWORK_ERROR,9667,3,4,0.38,3,0,1,0.5832893054310508
CARD,GATEWAY_TIMEOUT,16029,4,1,0.14,10,0,1,0.6959195311286173
CARD,INSUFFICIENT_FUNDS,49709,3,2,0.15,14,1,1,0.13495616723442208
NETBANKING,CARD_DECLINED,39056,1,1,0.08,9,0,0,0.2700170593938612
NETBANKING,FRAUD_SUSPECTED,46879,3,2,0.47,5,1,1,0.03130788373936887
NETBANKING,CARD_DECLINED,10221,2,1,0.31,12,1,0,0.11180047047951756
UPI,ACCOUNT_BLOCKED,19954,2,4,0.02,11,1,1,0.0218459991365701
UPI,FRAUD_SUSPECTED,42295,2,4,0.43,10,1,1,0.046540868823291594
CARD,GATEWAY_TIMEOUT,34521,4,1,0.25,12,0,0,0.5492366995102355
CARD,INSUFFICIENT_FUNDS,14800,2,2,0.31,23,0,0,0.1446501463791655
CARD,ACCOUNT_BLOCKED,41953,1,5,0.42,16,0,0,0.01
UPI,INVALID_CARD,41151,1,2,0.26,8,0,0,0.01
NETBANKING,INSUFFICIENT_FUNDS,16136,3,5,0.1,20,0,0,0.058963745025828705
CARD,GATEWAY_TIMEOUT,2736,3,4,0.15,23,0,0,0.6056140967481835
UPI,INVALID_ACCOUNT,19941,1,1,0.12,18,1,1,0.03782702339957182
UPI,FRAUD_SUSPECTED,41643,1,1,0.24,14,0,1,0.01
NETBANKING,ACCOUNT_BLOCKED,14189,4,2,0.29,18,1,0,0.031998145346729075
CARD,INSUFFICIENT_FUNDS,38696,4,0,0.13,13,1,1,0.14011281932632014
CARD,INVALID_ACCOUNT,31772,3,5,0.16,17,0,1,0.01
NETBANKING,INVALID_ACCOUNT,20337,4,0,0.49,5,1,0,0.01
NETBANKING,EXPIRED_CARD,32591,2,1,0.04,13,1,0,0.05252953370066724
CARD,FRAUD_SUSPECTED,41904,2,1,0.39,7,0,1,0.010177967030840977
CARD,INVALID_ACCOUNT,31024,1,5,0.16,19,0,0,0.01
UPI,INVALID_CARD,11357,2,4,0.33,10,1,1,0.037975491230538706
CARD,INSUFFICIENT_FUNDS,17326,4,2,0.19,9,1,1,0.1239231290111049
CARD,EXPIRED_CARD,20286,4,4,0.2,13,0,1,0.01
CARD,FRAUD_SUSPECTED,42422,2,3,0.39,0,0,0,0.02620546260228209
CARD,CARD_DECLINED,24576,1,2,0.22,12,1,0,0.18774746168775847
NETBANKING,INVALID_ACCOUNT,28942,3,0,0.05,5,1,1,0.05414941573237179
NETBANKING,EXPIRED_CARD,3114,4,5,0.48,22,1,0,0.01
NETBANKING,ACCOUNT_BLOCKED,24677,1,0,0.04,10,1,1,0.07981243729860046
CARD,NETWORK_ERROR,31022,2,5,0.05,23,1,0,0.5723950616645958
NETBANKING,CARD_DECLINED,37723,2,4,0.05,7,1,1,0.12066744322406311
CARD,BANK_TIMEOUT,9305,1,5,0.36,10,1,1,0.6587273198400327
UPI,GATEWAY_TIMEOUT,21154,4,1,0.24,10,0,1,0.5915357776609189
NETBANKING,BANK_TIMEOUT,9292,1,5,0.21,12,1,0,0.6321674445632081
UPI,INVALID_ACCOUNT,24576,1,4,0.22,1,1,1,0.01
CARD,NETWORK_ERROR,48231,1,4,0.06,17,0,0,0.6738590976845475
UPI,ACCOUNT_BLOCKED,30800,2,0,0.39,13,1,1,0.01
NETBANKING,GATEWAY_TIMEOUT,42727,3,0,0.1,18,1,1,0.6827713967719026
NETBANKING,INVALID_CARD,1507,4,4,0.15,19,1,0,0.01
CARD,INVALID_CARD,9962,3,1,0.3,10,1,0,0.036992782817426885
NETBANKING,FRAUD_SUSPECTED,46951,2,1,0.39,6,1,0,0.01
NETBANKING,ACCOUNT_BLOCKED,2685,2,4,0.18,2,1,1,0.05284655021883835
NETBANKING,INSUFFICIENT_FUNDS,13318,3,1,0.22,8,0,0,0.1752345336938983
UPI,GATEWAY_TIMEOUT,28912,1,3,0.02,23,0,1,0.682921429192135
CARD,INVALID_CARD,13117,2,3,0.3,3,0,0,0.010670333142044545
NETBANKING,INVALID_ACCOUNT,8075,2,1,0.07,15,1,1,0.02451278673930552
UPI,NETWORK_ERROR,33320,3,3,0.14,3,1,0,0.48672555942835594
CARD,INVALID_CARD,6657,3,2,0.47,2,1,1,0.01
NETBANKING,NETWORK_ERROR,42726,4,3,0.02,8,1,0,0.462073581879895
UPI,GATEWAY_TIMEOUT,37100,1,1,0.26,4,1,0,0.640118146029267
UPI,CARD_DECLINED,24459,4,1,0.22,5,0,0,0.054506801008490764
UPI,GATEWAY_TIMEOUT,2064,4,1,0.16,20,1,1,0.636191356957758
UPI,BANK_TIMEOUT,21830,1,3,0.03,4,1,0,0.6509474922247505
NETBANKING,INVALID_ACCOUNT,11224,2,0,0.02,7,0,1,0.14681915082508754
UPI,EXPIRED_CARD,30537,4,4,0.23,19,0,1,0.01
CARD,GATEWAY_TIMEOUT,21260,3,4,0.34,3,1,1,0.560871891611136
NETBANKING,INSUFFICIENT_FUNDS,8346,2,4,0.07,4,0,0,0.1473185237756291
NETBANKING,INVALID_CARD,18600,1,1,0.12,5,1,1,0.09904604689326642
CARD,ACCOUNT_BLOCKED,34173,3,1,0.17,11,0,0,0.034793594260524606
CARD,BANK_TIMEOUT,13069,2,0,0.08,1,0,0,0.7316763595361504
UPI,ACCOUNT_BLOCKED,31608,4,2,0.1,18,1,1,0.0592698782792957
CARD,ACCOUNT_BLOCKED,17323,4,0,0.38,20,1,1,0.05966857052782688
UPI,CARD_DECLINED,22446,4,4,0.23,3,1,1,0.01
CARD,INVALID_CARD,42193,1,4,0.07,7,1,0,0.01
NETBANKING,CARD_DECLINED,8377,3,2,0.23,17,0,0,0.1067558099180658
NETBANKING,INSUFFICIENT_FUNDS,9387,2,0,0.11,23,1,0,0.21528830035025343
NETBANKING,INVALID_ACCOUNT,3179,3,4,0.12,16,0,1,0.01
NETBANKING,GATEWAY_TIMEOUT,41709,2,5,0.08,19,1,0,0.509842137999022
CARD,CARD_DECLINED,25644,4,3,0.24,4,1,0,0.01
NETBANKING,INVALID_ACCOUNT,43885,3,1,0.46,19,0,0,0.035516956605296975
UPI,GATEWAY_TIMEOUT,31618,2,1,0.2,5,1,1,0.6991416405091966
UPI,FRAUD_SUSPECTED,4722,2,2,0.08,12,0,0,0.01
UPI,CARD_DECLINED,49945,3,0,0.32,16,1,0,0.1351658030365003
NETBANKING,EXPIRED_CARD,15316,4,2,0.41,17,1,0,0.01
NETBANKING,FRAUD_SUSPECTED,17932,1,3,0.42,8,0,1,0.01
UPI,EXPIRED_CARD,49806,3,1,0.27,2,1,0,0.04693612877276943
NETBANKING,EXPIRED_CARD,46079,4,3,0.04,3,1,1,0.050473135748260324
NETBANKING,INVALID_ACCOUNT,21650,4,5,0.42,11,0,0,0.01
CARD,INSUFFICIENT_FUNDS,38489,4,1,0.3,21,1,0,0.07973025380143667
NETBANKING,EXPIRED_CARD,36844,4,4,0.26,21,1,0,0.020166230878083162
NETBANKING,NETWORK_ERROR,37824,1,0,0.48,7,1,1,0.7735283539844641
NETBANKING,BANK_TIMEOUT,22860,4,3,0.29,16,0,1,0.5823160671332632
NETBANKING,INVALID_CARD,43948,1,1,0.29,0,1,0,0.01
CARD,BANK_TIMEOUT,47879,4,2,0.19,21,1,1,0.6083579562944088
UPI,CARD_DECLINED,29329,1,2,0.23,20,1,0,0.12793810182696413
NETBANKING,FRAUD_SUSPECTED,48642,4,2,0.39,5,1,0,0.01
NETBANKING,INVALID_ACCOUNT,48587,2,2,0.42,3,0,1,0.01
CARD,GATEWAY_TIMEOUT,49682,4,1,0.14,22,1,1,0.5797001247747968
CARD,FRAUD_SUSPECTED,49564,2,1,0.17,3,0,1,0.05088303260961121
NETBANKING,INVALID_ACCOUNT,19512,2,3,0.31,2,0,0,0.01
NETBANKING,INVALID_CARD,17360,2,5,0.18,11,1,0,0.0521258325764836
UPI,CARD_DECLINED,40301,1,2,0.5,14,0,0,0.16479872163758563
NETBANKING,CARD_DECLINED,1827,4,1,0.42,7,0,0,0.07203559017769622
UPI,GATEWAY_TIMEOUT,913,3,1,0.48,19,1,1,0.6334525840851086
NETBANKING,ACCOUNT_BLOCKED,12698,4,1,0.43,18,1,1,0.034679278032103376
NETBANKING,FRAUD_SUSPECTED,17372,4,2,0.19,7,1,1,0.01
NETBANKING,GATEWAY_TIMEOUT,21180,2,4,0.29,3,1,1,0.5514807621294658
NETBANKING,INSUFFICIENT_FUNDS,47292,3,5,0.35,17,0,1,0.011913343797817166
UPI,EXPIRED_CARD,40654,4,3,0.3,2,0,0,0.01599587295090278
NETBANKING,BANK_TIMEOUT,22880,4,5,0.08,21,1,0,0.4774734248808538
CARD,ACCOUNT_BLOCKED,16615,1,5,0.3,13,0,1,0.01
CARD,CARD_DECLINED,35384,3,2,0.12,16,1,0,0.09463002501399262
NETBANKING,ACCOUNT_BLOCKED,20708,1,4,0.04,11,0,0,0.02138504599305148
NETBANKING,INVALID_CARD,47966,2,5,0.11,19,0,0,0.01
CARD,NETWORK_ERROR,21844,1,0,0.47,18,1,1,0.7311290709200613
CARD,GATEWAY_TIMEOUT,22598,2,0,0.16,5,1,1,0.7239681823631633
UPI,CARD_DECLINED,26407,2,1,0.18,20,0,1,0.2171727492748315
UPI,INVALID_ACCOUNT,16993,1,4,0.04,17,0,1,0.01
UPI,INVALID_ACCOUNT,924,1,2,0.2,0,1,0,0.05557117013066482
UPI,ACCOUNT_BLOCKED,32750,2,4,0.12,11,0,0,0.019971830527609806
NETBANKING,GATEWAY_TIMEOUT,28981,2,4,0.08,14,0,0,0.6355293045174999
UPI,CARD_DECLINED,19199,1,2,0.34,18,0,0,0.20576510494437789
NETBANKING,GATEWAY_TIMEOUT,40286,3,3,0.47,17,1,1,0.5974011100503666
NETBANKING,INVALID_ACCOUNT,4390,3,1,0.19,7,1,0,0.039405395987842005
UPI,FRAUD_SUSPECTED,3941,4,5,0.36,18,0,0,0.026351259987655383
CARD,INVALID_ACCOUNT,36996,4,4,0.33,9,1,0,0.01
UPI,CARD_DECLINED,41147,4,3,0.22,2,1,0,0.01
CARD,INVALID_ACCOUNT,31826,4,2,0.25,9,0,0,0.01
UPI,CARD_DECLINED,38600,2,5,0.16,1,0,0,0.10067681999724053
CARD,INSUFFICIENT_FUNDS,23153,1,5,0.44,23,0,1,0.14411333872317006
UPI,INSUFFICIENT_FUNDS,6565,4,1,0.45,22,1,0,0.06640345737606898
CARD,INSUFFICIENT_FUNDS,37530,1,0,0.46,6,0,1,0.22447387846141742
UPI,FRAUD_SUSPECTED,11703,4,1,0.19,12,0,0,0.01
UPI,ACCOUNT_BLOCKED,43912,3,3,0.34,22,1,0,0.054027279226989335
NETBANKING,CARD_DECLINED,26917,1,3,0.41,12,1,0,0.14067246414663293
CARD,CARD_DECLINED,39430,1,5,0.35,1,1,0,0.07129630304090631
UPI,NETWORK_ERROR,41885,1,0,0.09,15,0,0,0.7646939705367226
UPI,CARD_DECLINED,44723,4,2,0.27,9,1,0,0.03609892868951015
CARD,INSUFFICIENT_FUNDS,5769,4,1,0.07,1,1,1,0.09393438946560512
UPI,BANK_TIMEOUT,25532,2,0,0.38,2,0,1,0.74353208268501
CARD,GATEWAY_TIMEOUT,29068,1,5,0.47,6,0,1,0.5773757897382985
UPI,GATEWAY_TIMEOUT,22470,3,1,0.18,6,0,1,0.6600034343548846
CARD,INVALID_ACCOUNT,4271,2,1,0.32,10,1,0,0.047133731276192144
UPI,INSUFFICIENT_FUNDS,39530,3,4,0.09,17,1,0,0.01
UPI,INVALID_CARD,34050,1,4,0.36,23,1,1,0.01
UPI,INSUFFICIENT_FUNDS,486,4,0,0.29,12,0,0,0.1472176250132073
UPI,ACCOUNT_BLOCKED,35855,1,0,0.33,15,1,1,0.07556099860075795
CARD,EXPIRED_CARD,49125,2,5,0.25,8,1,1,0.01
UPI,EXPIRED_CARD,35257,3,1,0.08,20,0,1,0.0599140480586968
UPI,FRAUD_SUSPECTED,48597,1,3,0.4,4,0,1,0.01
NETBANKING,INSUFFICIENT_FUNDS,26460,2,5,0.18,12,1,1,0.06805815390754436
CARD,EXPIRED_CARD,25556,4,2,0.18,21,1,0,0.03233077103639898
UPI,INSUFFICIENT_FUNDS,14318,2,4,0.11,23,1,1,0.14382055162075064
CARD,FRAUD_SUSPECTED,42305,3,1,0.2,15,0,1,0.01
NETBANKING,INVALID_CARD,3434,2,1,0.18,5,1,1,0.01
CARD,BANK_TIMEOUT,45579,2,3,0.29,5,1,0,0.5851238141073856
NETBANKING,INSUFFICIENT_FUNDS,9975,4,2,0.24,23,0,1,0.09762146032628266
NETBANKING,INVALID_ACCOUNT,48289,1,5,0.06,2,0,0,0.01
UPI,FRAUD_SUSPECTED,5994,3,2,0.11,4,0,1,0.044067851354198974
CARD,ACCOUNT_BLOCKED,20776,4,3,0.18,5,1,1,0.01
NETBANKING,GATEWAY_TIMEOUT,10062,2,3,0.07,19,1,0,0.629166407132388
NETBANKING,EXPIRED_CARD,45966,3,5,0.43,7,0,0,0.05091848242648236
UPI,BANK_TIMEOUT,8986,4,3,0.2,5,0,1,0.6330942181057756
NETBANKING,ACCOUNT_BLOCKED,12016,4,0,0.49,21,1,1,0.05878152987734266
CARD,NETWORK_ERROR,11715,2,4,0.16,12,0,0,0.6632896802239335
NETBANKING,INSUFFICIENT_FUNDS,41664,3,2,0.36,2,1,1,0.04559555347402554
NETBANKING,INVALID_CARD,11179,3,2,0.1,8,0,1,0.01
UPI,BANK_TIMEOUT,42659,2,5,0.16,14,1,1,0.5280455738252673
NETBANKING,EXPIRED_CARD,43315,1,2,0.28,4,0,0,0.01
UPI,EXPIRED_CARD,25004,4,0,0.35,8,1,1,0.01
NETBANKING,INVALID_CARD,26785,3,1,0.47,23,1,0,0.01
CARD,NETWORK_ERROR,29582,1,5,0.46,16,0,0,0.6050755082432373
UPI,INSUFFICIENT_FUNDS,4976,2,2,0.04,18,0,0,0.222369039919534
UPI,BANK_TIMEOUT,48367,3,4,0.04,18,1,1,0.5946131632811861
UPI,ACCOUNT_BLOCKED,8093,1,5,0.08,23,0,0,0.01
UPI,BANK_TIMEOUT,28475,2,1,0.03,2,1,1,0.7195451740096014
UPI,EXPIRED_CARD,13030,4,4,0.36,15,1,0,0.01
NETBANKING,BANK_TIMEOUT,5313,2,1,0.14,17,0,0,0.7262868094754714
UPI,INSUFFICIENT_FUNDS,12358,3,1,0.09,20,1,1,0.18166544535800433
CARD,INSUFFICIENT_FUNDS,28052,3,2,0.37,16,0,1,0.1011449137287565
UPI,NETWORK_ERROR,4138,1,3,0.18,23,0,1,0.6999951611712837
NETBANKING,EXPIRED_CARD,886,1,2,0.3,11,0,1,0.0827148926554063
CARD,EXPIRED_CARD,23569,4,2,0.25,15,1,0,0.01
UPI,BANK_TIMEOUT,45376,3,3,0.24,14,1,1,0.5723623858009893
CARD,EXPIRED_CARD,10106,2,5,0.38,13,0,0,0.03882653051370643
CARD,GATEWAY_TIMEOUT,26276,3,0,0.22,21,0,0,0.6572937163606606
UPI,INSUFFICIENT_FUNDS,6315,1,3,0.24,8,1,0,0.10816806717017474
CARD,GATEWAY_TIMEOUT,19991,3,1,0.1,19,1,1,0.6735107573474429
UPI,EXPIRED_CARD,43733,1,2,0.48,2,1,1,0.020781765199692444
UPI,INSUFFICIENT_FUNDS,34097,4,1,0.21,0,1,0,0.022858050875707726
CARD,ACCOUNT_BLOCKED,28214,1,4,0.07,9,1,1,0.040712428456928206
UPI,FRAUD_SUSPECTED,37149,4,0,0.02,11,1,0,0.01
CARD,INSUFFICIENT_FUNDS,20582,4,2,0.28,18,1,0,0.05018558124239209
CARD,ACCOUNT_BLOCKED,15102,2,1,0.25,15,0,1,0.04609604662711038
UPI,INVALID_CARD,49264,2,4,0.17,16,1,1,0.020259977653943398
NETBANKING,CARD_DECLINED,4486,4,3,0.39,8,0,1,0.10577727828752938
UPI,EXPIRED_CARD,16260,2,5,0.01,11,1,0,0.03836842706259904
CARD,EXPIRED_CARD,20689,2,5,0.1,19,0,1,0.033341991797509
NETBANKING,INSUFFICIENT_FUNDS,34408,3,1,0.4,13,0,1,0.12609878793674703
UPI,CARD_DECLINED,1756,1,5,0.33,13,0,1,0.16349394808396464
UPI,EXPIRED_CARD,41118,4,4,0.09,14,1,0,0.05369029795643095
CARD,CARD_DECLINED,13061,4,2,0.09,4,1,0,0.013391494253593268
CARD,INVALID_ACCOUNT,31367,3,1,0.16,23,1,0,0.022889033879533123
NETBANKING,FRAUD_SUSPECTED,26021,2,2,0.31,1,1,1,0.01656168889737976
NETBANKING,BANK_TIMEOUT,33635,1,5,0.36,4,1,0,0.596694873413365
UPI,GATEWAY_TIMEOUT,6801,2,5,0.13,11,1,1,0.5651158723031295
CARD,NETWORK_ERROR,32373,4,4,0.04,13,1,0,0.4708097519746765
UPI,INSUFFICIENT_FUNDS,29492,2,0,0.38,8,0,0,0.13765141785499346
NETBANKING,INVALID_ACCOUNT,1687,1,5,0.42,7,1,0,0.01
UPI,GATEWAY_TIMEOUT,9122,3,2,0.2,20,1,0,0.5910246945660834
CARD,EXPIRED_CARD,1640,4,4,0.04,6,0,0,0.01
CARD,BANK_TIMEOUT,22997,1,4,0.44,16,0,1,0.6272778330983638
NETBANKING,BANK_TIMEOUT,41235,3,2,0.28,16,1,0,0.5854822343301668
NETBANKING,CARD_DECLINED,22020,2,2,0.45,12,0,1,0.16016497703553545
CARD,ACCOUNT_BLOCKED,42790,4,1,0.1,1,1,0,0.03428134078762198
UPI,INSUFFICIENT_FUNDS,49891,3,5,0.34,18,1,1,0.01
NETBANKING,INSUFFICIENT_FUNDS,37248,3,1,0.26,9,0,0,0.14695871926912601
CARD,INSUFFICIENT_FUNDS,32841,4,5,0.17,12,0,1,0.01
NETBANKING,CARD_DECLINED,43814,2,0,0.31,0,0,0,0.22471659774423533
CARD,BANK_TIMEOUT,19986,4,3,0.37,5,0,0,0.5098049764747237
NETBANKING,INSUFFICIENT_FUNDS,27832,3,0,0.15,20,0,1,0.23204436856135185
UPI,CARD_DECLINED,9395,3,3,0.47,6,0,0,0.10102905673611391
CARD,GATEWAY_TIMEOUT,1040,1,0,0.37,14,1,1,0.7352558947674012
NETBANKING,EXPIRED_CARD,4247,2,1,0.04,21,1,0,0.01
CARD,EXPIRED_CARD,27128,2,0,0.29,1,0,1,0.06199017447350072
NETBANKING,EXPIRED_CARD,13384,3,0,0.34,6,0,1,0.047035392732879974
NETBANKING,BANK_TIMEOUT,37010,4,4,0.48,15,0,0,0.430651710870888
