payment_method,failure_code,amount,attempt_number,customer_failure_count,merchant_failure_rate,transaction_hour,is_international,previous_success,failure_class
NETBANKING,BANK_TIMEOUT,48766,1,0,0.3,20,0,0,TRANSIENT
UPI,INVALID_CARD,35920,3,2,0.37,6,0,0,PERMANENT
CARD,INSUFFICIENT_FUNDS,36177,3,4,0.49,11,1,0,CUSTOMER_ACTION
CARD,INVALID_CARD,27559,1,1,0.3,22,0,1,PERMANENT
UPI,GATEWAY_TIMEOUT,45569,2,5,0.41,15,0,0,TRANSIENT
NETBANKING,ACCOUNT_BLOCKED,25675,4,4,0.14,5,0,0,PERMANENT
NETBANKING,INSUFFICIENT_FUNDS,29947,3,2,0.43,9,1,0,CUSTOMER_ACTION
UPI,INSUFFICIENT_FUNDS,35067,2,2,0.03,4,1,0,CUSTOMER_ACTION
NETBANKING,FRAUD_SUSPECTED,16418,2,4,0.07,20,1,1,RISK
NETBANKING,FRAUD_SUSPECTED,36097,3,5,0.08,19,1,1,RISK
UPI,GATEWAY_TIMEOUT,23396,2,5,0.48,5,1,0,TRANSIENT
NETBANKING,GATEWAY_TIMEOUT,45196,4,5,0.14,20,0,1,TRANSIENT
CARD,CARD_DECLINED,13464,4,1,0.23,23,1,1,CUSTOMER_ACTION
UPI,CARD_DECLINED,32603,2,3,0.1,5,0,1,CUSTOMER_ACTION
UPI,CARD_DECLINED,20426,2,1,0.41,21,0,0,CUSTOMER_ACTION
CARD,INSUFFICIENT_FUNDS,16172,4,5,0.49,3,0,0,CUSTOMER_ACTION
CARD,NETWORK_ERROR,1457,1,0,0.38,20,0,0,TRANSIENT
CARD,INSUFFICIENT_FUNDS,9447,1,0,0.48,3,1,0,CUSTOMER_ACTION
CARD,INSUFFICIENT_FUNDS,49885,4,1,0.16,15,0,0,CUSTOMER_ACTION
NETBANKING,GATEWAY_TIMEOUT,17628,1,0,0.41,3,1,0,TRANSIENT
UPI,EXPIRED_CARD,14800,1,1,0.22,4,1,1,PERMANENT
NETBANKING,CARD_DECLINED,46948,1,3,0.09,3,0,0,CUSTOMER_ACTION
UPI,FRAUD_SUSPECTED,40450,3,0,0.19,2,0,0,RISK
NETBANKING,CARD_DECLINED,22044,2,5,0.22,21,1,1,CUSTOMER_ACTION
CARD,FRAUD_SUSPECTED,32818,3,2,0.41,22,0,0,RISK
CARD,INSUFFICIENT_FUNDS,9784,4,3,0.36,15,0,0,CUSTOMER_ACTION
UPI,INVALID_ACCOUNT,6027,3,1,0.1,12,1,1,PERMANENT
CARD,ACCOUNT_BLOCKED,45544,4,4,0.4,10,0,0,PERMANENT
NETBANKING,ACCOUNT_BLOCKED,32678,4,4,0.27,7,1,0,PERMANENT
NETBANKING,EXPIRED_CARD,5818,2,2,0.01,0,1,1,PERMANENT
UPI,INSUFFICIENT_FUNDS,22994,3,1,0.15,4,1,0,CUSTOMER_ACTION
UPI,INSUFFICIENT_FUNDS,49055,2,0,0.48,22,0,1,CUSTOMER_ACTION
CARD,GATEWAY_TIMEOUT,24458,1,5,0.06,18,0,1,TRANSIENT
UPI,INSUFFICIENT_FUNDS,24036,2,0,0.13,0,1,0,CUSTOMER_ACTION
NETBANKING,CARD_DECLINED,9282,3,3,0.21,10,1,0,CUSTOMER_ACTION
UPI,FRAUD_SUSPECTED,4032,1,4,0.38,16,0,0,RISK
NETBANKING,ACCOUNT_BLOCKED,29872,3,4,0.26,22,0,1,PERMANENT
UPI,CARD_DECLINED,34277,4,1,0.37,12,0,0,CUSTOMER_ACTION
NETBANKING,EXPIRED_CARD,36753,1,5,0.24,10,1,1,PERMANENT
CARD,INSUFFICIENT_FUNDS,42478,4,1,0.14,3,0,1,CUSTOMER_ACTION
UPI,FRAUD_SUSPECTED,18594,2,4,0.06,6,0,1,RISK
NETBANKING,INSUFFICIENT_FUNDS,2221,2,2,0.05,18,0,1,CUSTOMER_ACTION
CARD,BANK_TIMEOUT,6208,3,0,0.49,9,1,0,TRANSIENT
NETBANKING,FRAUD_SUSPECTED,23420,2,5,0.34,10,1,0,RISK
NETBANKING,INSUFFICIENT_FUNDS,25142,4,4,0.44,1,1,0,CUSTOMER_ACTION
UPI,CARD_DECLINED,41122,1,5,0.12,6,0,0,CUSTOMER_ACTION
UPI,FRAUD_SUSPECTED,22318,3,2,0.32,13,0,1,RISK
NETBANKING,INSUFFICIENT_FUNDS,39872,1,1,0.29,15,0,0,CUSTOMER_ACTION
NETBANKING,CARD_DECLINED,5812,4,0,0.23,5,1,0,CUSTOMER_ACTION
NETBANKING,NETWORK_ERROR,23911,3,0,0.04,22,1,1,TRANSIENT
CARD,INVALID_ACCOUNT,42717,2,0,0.49,15,0,1,PERMANENT
CARD,FRAUD_SUSPECTED,40711,2,3,0.19,19,1,1,RISK
CARD,GATEWAY_TIMEOUT,33257,4,2,0.44,21,0,0,TRANSIENT
UPI,INSUFFICIENT_FUNDS,7000,3,3,0.09,12,0,0,CUSTOMER_ACTION
NETBANKING,ACCOUNT_BLOCKED,6227,3,3,0.24,17,1,0,PERMANENT
NETBANKING,BANK_TIMEOUT,7200,4,3,0.11,10,0,1,TRANSIENT
UPI,FRAUD_SUSPECTED,46125,4,0,0.15,1,0,1,RISK
CARD,INSUFFICIENT_FUNDS,37337,1,4,0.39,1,1,1,CUSTOMER_ACTION
UPI,EXPIRED_CARD,13960,1,5,0.22,8,0,0,PERMANENT
CARD,INSUFFICIENT_FUNDS,26646,1,2,0.44,14,1,0,CUSTOMER_ACTION
UPI,FRAUD_SUSPECTED,6158,4,2,0.48,9,0,0,RISK
CARD,FRAUD_SUSPECTED,31262,2,5,0.22,22,1,0,RISK
NETBANKING,INSUFFICIENT_FUNDS,43875,2,2,0.34,23,1,0,CUSTOMER_ACTION
UPI,CARD_DECLINED,32831,3,0,0.4,21,1,1,CUSTOMER_ACTION
UPI,NETWORK_ERROR,41669,4,5,0.49,3,0,0,TRANSIENT
NETBANKING,CARD_DECLINED,35888,2,4,0.2,11,0,0,CUSTOMER_ACTION
CARD,NETWORK_ERROR,1161,3,2,0.26,3,1,1,TRANSIENT
CARD,ACCOUNT_BLOCKED,23182,4,4,0.49,10,0,0,PERMANENT
CARD,ACCOUNT_BLOCKED,11693,2,4,0.22,9,1,1,PERMANENT
UPI,BANK_TIMEOUT,5974,1,4,0.47,3,1,0,TRANSIENT
NETBANKING,INVALID_CARD,19099,4,1,0.12,14,1,0,PERMANENT
UPI,CARD_DECLINED,23077,4,3,0.45,20,1,0,CUSTOMER_ACTION
NETBANKING,FRAUD_SUSPECTED,18686,3,5,0.14,13,0,0,RISK
UPI,INVALID_CARD,1820,2,2,0.42,16,1,1,PERMANENT
UPI,CARD_DECLINED,36520,4,1,0.31,12,0,1,CUSTOMER_ACTION
NETBANKING,CARD_DECLINED,11484,4,2,0.26,13,0,0,CUSTOMER_ACTION
NETBANKING,INSUFFICIENT_FUNDS,37909,4,5,0.46,17,0,1,CUSTOMER_ACTION
UPI,INSUFFICIENT_FUNDS,1780,4,0,0.32,18,0,0,CUSTOMER_ACTION
CARD,GATEWAY_TIMEOUT,1757,2,3,0.32,11,0,0,TRANSIENT
UPI,CARD_DECLINED,35189,2,5,0.39,12,1,0,CUSTOMER_ACTION
UPI,FRAUD_SUSPECTED,41219,1,5,0.49,3,0,1,RISK
UPI,BANK_TIMEOUT,18611,3,1,0.06,15,1,0,TRANSIENT
CARD,INVALID_CARD,1538,4,0,0.25,20,0,0,PERMANENT
CARD,ACCOUNT_BLOCKED,41620,4,1,0.1,0,0,0,PERMANENT
CARD,NETWORK_ERROR,31813,1,1,0.27,8,0,0,TRANSIENT
UPI,GATEWAY_TIMEOUT,34047,2,1,0.43,3,0,0,TRANSIENT
UPI,FRAUD_SUSPECTED,5568,2,2,0.14,6,0,1,RISK
NETBANKING,FRAUD_SUSPECTED,32592,4,4,0.47,6,1,0,RISK
CARD,CARD_DECLINED,6843,3,1,0.4,23,1,1,CUSTOMER_ACTION
NETBANKING,ACCOUNT_BLOCKED,49060,3,2,0.32,19,1,1,PERMANENT
CARD,CARD_DECLINED,41564,1,3,0.09,1,1,1,CUSTOMER_ACTION
CARD,FRAUD_SUSPECTED,2062,1,1,0.41,13,0,1,RISK
UPI,INSUFFICIENT_FUNDS,43154,3,2,0.08,10,0,0,CUSTOMER_ACTION
NETBANKING,FRAUD_SUSPECTED,21652,2,3,0.29,10,0,0,RISK
NETBANKING,INVALID_ACCOUNT,14005,2,0,0.28,22,0,1,PERMANENT
CARD,INVALID_ACCOUNT,13085,2,0,0.4,15,0,1,PERMANENT
UPI,INVALID_CARD,29773,2,4,0.17,12,0,0,PERMANENT
NETBANKING,FRAUD_SUSPECTED,37832,1,3,0.15,12,0,0,RISK
UPI,FRAUD_SUSPECTED,30894,1,3,0.36,8,1,1,RISK
NETBANKING,INVALID_CARD,20624,4,4,0.03,9,1,1,PERMANENT
NETBANKING,NETWORK_ERROR,6833,1,1,0.03,0,0,0,TRANSIENT
UPI,FRAUD_SUSPECTED,11253,1,1,0.36,11,0,0,RISK
UPI,FRAUD_SUSPECTED,3245,3,0,0.14,22,1,1,RISK
NETBANKING,INSUFFICIENT_FUNDS,30292,1,1,0.17,4,1,1,CUSTOMER_ACTION
NETBANKING,GATEWAY_TIMEOUT,15862,4,5,0.25,8,1,1,TRANSIENT
CARD,INSUFFICIENT_FUNDS,19514,1,2,0.28,7,0,0,CUSTOMER_ACTION
UPI,NETWORK_ERROR,14024,1,5,0.12,12,0,1,TRANSIENT
UPI,NETWORK_ERROR,38800,3,2,0.36,20,0,0,TRANSIENT
CARD,INSUFFICIENT_FUNDS,25369,4,4,0.26,12,0,0,CUSTOMER_ACTION
UPI,FRAUD_SUSPECTED,45075,3,4,0.33,4,1,0,RISK
UPI,BANK_TIMEOUT,30302,2,2,0.02,21,1,1,TRANSIENT
NETBANKING,FRAUD_SUSPECTED,5609,3,3,0.11,12,1,1,RISK
CARD,NETWORK_ERROR,24333,1,0,0.33,23,1,0,TRANSIENT
CARD,FRAUD_SUSPECTED,11676,3,4,0.31,16,1,0,RISK
UPI,GATEWAY_TIMEOUT,7379,2,0,0.04,1,1,0,TRANSIENT
UPI,GATEWAY_TIMEOUT,18152,2,4,0.35,12,1,1,TRANSIENT
NETBANKING,BANK_TIMEOUT,45430,3,3,0.11,6,1,1,TRANSIENT
UPI,FRAUD_SUSPECTED,12229,4,5,0.16,22,0,0,RISK
UPI,FRAUD_SUSPECTED,12377,3,3,0.08,0,1,1,RISK
UPI,FRAUD_SUSPECTED,17390,1,1,0.34,0,1,1,RISK
UPI,NETWORK_ERROR,31070,1,0,0.41,18,1,0,TRANSIENT
UPI,INSUFFICIENT_FUNDS,6653,3,5,0.17,15,1,1,CUSTOMER_ACTION
CARD,INVALID_ACCOUNT,30164,1,2,0.16,10,1,0,PERMANENT
UPI,FRAUD_SUSPECTED,26990,2,5,0.5,11,1,0,RISK
CARD,CARD_DECLINED,13620,1,1,0.46,12,0,1,CUSTOMER_ACTION
CARD,EXPIRED_CARD,44603,3,2,0.2,13,1,1,PERMANENT
NETBANKING,INSUFFICIENT_FUNDS,34183,3,4,0.07,14,1,1,CUSTOMER_ACTION
CARD,BANK_TIMEOUT,45026,2,3,0.34,16,1,0,TRANSIENT
CARD,FRAUD_SUSPECTED,4334,3,0,0.23,6,1,0,RISK
CARD,NETWORK_ERROR,433,4,2,0.33,0,0,1,TRANSIENT
CARD,CARD_DECLINED,32998,2,0,0.36,4,0,1,CUSTOMER_ACTION
UPI,NETWORK_ERROR,2206,4,2,0.13,21,1,1,TRANSIENT
CARD,INVALID_CARD,19893,3,1,0.29,21,1,0,PERMANENT
UPI,CARD_DECLINED,27383,2,2,0.16,9,1,0,CUSTOMER_ACTION
UPI,ACCOUNT_BLOCKED,9183,4,5,0.16,21,1,1,PERMANENT
CARD,FRAUD_SUSPECTED,27658,4,3,0.02,17,0,1,RISK
NETBANKING,BANK_TIMEOUT,19917,2,4,0.26,4,1,0,TRANSIENT
CARD,EXPIRED_CARD,44014,1,3,0.41,16,1,0,PERMANENT
CARD,BANK_TIMEOUT,42690,1,2,0.3,9,1,1,TRANSIENT
NETBANKING,BANK_TIMEOUT,38413,1,5,0.11,4,1,0,TRANSIENT
CARD,INSUFFICIENT_FUNDS,41272,3,5,0.49,0,1,0,CUSTOMER_ACTION
UPI,BANK_TIMEOUT,10128,1,4,0.06,6,0,1,TRANSIENT
CARD,GATEWAY_TIMEOUT,25705,1,0,0.16,15,0,0,TRANSIENT
NETBANKING,FRAUD_SUSPECTED,40546,1,3,0.08,0,0,0,RISK
NETBANKING,INSUFFICIENT_FUNDS,48705,2,3,0.25,9,0,1,CUSTOMER_ACTION
CARD,FRAUD_SUSPECTED,25385,1,3,0.21,13,0,0,RISK
UPI,FRAUD_SUSPECTED,37076,4,0,0.29,1,1,0,RISK
CARD,FRAUD_SUSPECTED,47486,4,2,0.01,5,1,0,RISK
NETBANKING,FRAUD_SUSPECTED,4213,2,5,0.08,20,1,1,RISK
NETBANKING,CARD_DECLINED,19952,4,0,0.46,20,1,1,CUSTOMER_ACTION
NETBANKING,EXPIRED_CARD,46532,3,1,0.35,18,1,1,PERMANENT
UPI,BANK_TIMEOUT,48129,2,1,0.06,3,1,1,TRANSIENT
NETBANKING,FRAUD_SUSPECTED,15606,1,1,0.37,12,1,0,RISK
CARD,GATEWAY_TIMEOUT,7602,1,5,0.05,11,0,0,TRANSIENT
NETBANKING,FRAUD_SUSPECTED,29559,4,1,0.49,18,0,0,RISK
CARD,FRAUD_SUSPECTED,44589,3,1,0.11,5,1,0,RISK
UPI,GATEWAY_TIMEOUT,41329,1,1,0.03,4,0,1,TRANSIENT
CARD,INVALID_CARD,12244,4,1,0.42,18,1,1,PERMANENT
UPI,FRAUD_SUSPECTED,28862,4,5,0.19,2,0,0,RISK
UPI,FRAUD_SUSPECTED,32783,2,0,0.3,10,0,0,RISK
CARD,FRAUD_SUSPECTED,46189,3,0,0.44,5,1,0,RISK
CARD,CARD_DECLINED,40643,1,4,0.35,3,1,1,CUSTOMER_ACTION
CARD,BANK_TIMEOUT,27717,3,1,0.17,1,0,0,TRANSIENT
UPI,FRAUD_SUSPECTED,32445,1,4,0.45,22,0,1,RISK
NETBANKING,NETWORK_ERROR,48550,1,4,0.24,4,1,0,TRANSIENT
CARD,BANK_TIMEOUT,33366,2,5,0.18,15,1,0,TRANSIENT
UPI,BANK_TIMEOUT,12956,4,5,0.34,0,1,0,TRANSIENT
NETBANKING,ACCOUNT_BLOCKED,8307,4,5,0.22,4,0,1,PERMANENT
CARD,GATEWAY_TIMEOUT,23154,2,2,0.22,1,0,0,TRANSIENT
UPI,GATEWAY_TIMEOUT,14984,4,5,0.38,17,0,0,TRANSIENT
UPI,INSUFFICIENT_FUNDS,3812,2,3,0.1,1,1,1,CUSTOMER_ACTION
UPI,CARD_DECLINED,39822,4,3,0.33,21,0,0,CUSTOMER_ACTION
CARD,FRAUD_SUSPECTED,46319,3,1,0.23,9,1,1,RISK
CARD,CARD_DECLINED,45829,1,0,0.18,13,1,1,CUSTOMER_ACTION
UPI,BANK_TIMEOUT,34243,2,2,0.37,6,0,1,TRANSIENT
UPI,INSUFFICIENT_FUNDS,45866,4,5,0.38,3,0,1,CUSTOMER_ACTION
CARD,NETWORK_ERROR,38650,4,2,0.42,2,0,1,TRANSIENT
UPI,ACCOUNT_BLOCKED,25173,4,3,0.03,6,1,0,PERMANENT
NETBANKING,INVALID_CARD,20098,1,4,0.38,0,1,1,PERMANENT
CARD,INSUFFICIENT_FUNDS,47665,4,3,0.39,23,0,0,CUSTOMER_ACTION
NETBANKING,INVALID_ACCOUNT,30476,4,4,0.36,16,1,0,PERMANENT
NETBANKING,ACCOUNT_BLOCKED,15712,2,0,0.15,21,1,0,PERMANENT
CARD,CARD_DECLINED,37526,4,0,0.31,11,1,1,CUSTOMER_ACTION
CARD,BANK_TIMEOUT,37353,3,2,0.43,14,1,0,TRANSIENT
CARD,INVALID_CARD,2525,3,3,0.32,17,0,1,PERMANENT
UPI,GATEWAY_TIMEOUT,18217,3,0,0.23,8,1,1,TRANSIENT
UPI,EXPIRED_CARD,41409,2,1,0.44,20,0,0,PERMANENT
UPI,GATEWAY_TIMEOUT,12175,4,4,0.17,17,0,0,TRANSIENT
UPI,FRAUD_SUSPECTED,44558,3,4,0.36,19,0,1,RISK
NETBANKING,BANK_TIMEOUT,29185,1,4,0.05,6,1,1,TRANSIENT
NETBANKING,INVALID_CARD,28049,3,1,0.02,19,1,1,PERMANENT
CARD,INVALID_ACCOUNT,19371,1,1,0.19,9,0,0,PERMANENT
UPI,GATEWAY_TIMEOUT,20619,3,1,0.2,18,0,0,TRANSIENT
UPI,INVALID_CARD,14818,4,4,0.37,16,0,1,PERMANENT
CARD,INVALID_ACCOUNT,12881,3,1,0.17,11,0,1,PERMANENT
NETBANKING,FRAUD_SUSPECTED,15897,4,5,0.48,13,1,0,RISK
CARD,FRAUD_SUSPECTED,42916,4,4,0.12,13,0,0,RISK
NETBANKING,CARD_DECLINED,38422,2,4,0.14,9,1,1,CUSTOMER_ACTION
CARD,BANK_TIMEOUT,27692,2,4,0.25,6,0,1,TRANSIENT
UPI,BANK_TIMEOUT,27535,3,4,0.36,15,0,0,TRANSIENT
UPI,NETWORK_ERROR,45322,2,0,0.07,16,1,1,TRANSIENT
CARD,FRAUD_SUSPECTED,45773,2,5,0.15,10,1,0,RISK
NETBANKING,BANK_TIMEOUT,23362,4,3,0.32,23,1,1,TRANSIENT
NETBANKING,EXPIRED_CARD,12122,1,1,0.45,18,1,1,PERMANENT
CARD,INVALID_ACCOUNT,11681,3,0,0.12,15,1,0,PERMANENT
CARD,INVALID_ACCOUNT,25270,3,1,0.48,1,0,1,PERMANENT
UPI,FRAUD_SUSPECTED,22863,3,1,0.07,8,1,1,RISK
CARD,INSUFFICIENT_FUNDS,17101,1,1,0.34,4,0,0,CUSTOMER_ACTION
NETBANKING,INSUFFICIENT_FUNDS,2704,2,0,0.25,0,1,0,CUSTOMER_ACTION
NETBANKING,FRAUD_SUSPECTED,29252,2,3,0.15,3,0,1,RISK
CARD,ACCOUNT_BLOCKED,5792,2,2,0.37,3,1,0,PERMANENT
CARD,INSUFFICIENT_FUNDS,10371,3,2,0.23,23,0,1,CUSTOMER_ACTION
UPI,NETWORK_ERROR,46309,3,1,0.42,21,0,0,TRANSIENT
NETBANKING,INSUFFICIENT_FUNDS,24755,2,5,0.11,15,0,1,CUSTOMER_ACTION
CARD,CARD_DECLINED,8737,2,5,0.44,16,0,0,CUSTOMER_ACTION
CARD,INVALID_CARD,36651,2,5,0.1,13,1,1,PERMANENT
CARD,CARD_DECLINED,34864,2,2,0.42,9,1,1,CUSTOMER_ACTION
NETBANKING,INVALID_ACCOUNT,31620,3,0,0.12,9,1,1,PERMANENT
NETBANKING,FRAUD_SUSPECTED,27943,1,1,0.24,10,0,1,RISK
CARD,EXPIRED_CARD,32158,4,5,0.13,9,1,0,PERMANENT
NETBANKING,INVALID_CARD,21280,3,5,0.17,12,1,1,PERMANENT
UPI,INVALID_ACCOUNT,17684,4,5,0.12,20,0,1,PERMANENT
UPI,ACCOUNT_BLOCKED,37619,2,4,0.11,20,0,1,PERMANENT
NETBANKING,INSUFFICIENT_FUNDS,1483,4,0,0.39,10,1,0,CUSTOMER_ACTION
UPI,GATEWAY_TIMEOUT,23830,2,1,0.42,12,0,1,TRANSIENT
CARD,CARD_DECLINED,27192,2,4,0.37,0,0,0,CUSTOMER_ACTION
CARD,GATEWAY_TIMEOUT,31878,1,1,0.15,0,0,0,TRANSIENT
NETBANKING,NETWORK_ERROR,8203,4,5,0.21,23,1,0,TRANSIENT
NETBANKING,BANK_TIMEOUT,47424,4,0,0.02,17,0,0,TRANSIENT
NETBANKING,EXPIRED_CARD,20559,3,3,0.26,0,1,1,PERMANENT
UPI,EXPIRED_CARD,17419,4,3,0.15,2,0,1,PERMANENT
CARD,FRAUD_SUSPECTED,46163,2,3,0.02,15,1,1,RISK
UPI,NETWORK_ERROR,37971,1,3,0.39,14,1,1,TRANSIENT
CARD,GATEWAY_TIMEOUT,21886,2,5,0.49,3,0,0,TRANSIENT
UPI,EXPIRED_CARD,9362,4,4,0.42,16,0,0,PERMANENT
CARD,INVALID_ACCOUNT,20511,3,1,0.03,22,1,0,PERMANENT
NETBANKING,FRAUD_SUSPECTED,32129,4,2,0.48,7,1,1,RISK
UPI,INVALID_CARD,27998,1,3,0.07,0,0,0,PERMANENT
CARD,INSUFFICIENT_FUNDS,7549,1,3,0.25,20,1,0,CUSTOMER_ACTION
UPI,ACCOUNT_BLOCKED,19547,1,3,0.5,23,1,1,PERMANENT
UPI,FRAUD_SUSPECTED,19118,2,4,0.48,11,1,1,RISK
CARD,EXPIRED_CARD,49039,2,1,0.27,15,0,1,PERMANENT
UPI,EXPIRED_CARD,30934,1,0,0.16,6,0,0,PERMANENT
UPI,INVALID_ACCOUNT,4104,4,4,0.09,11,0,1,PERMANENT
CARD,BANK_TIMEOUT,18724,4,4,0.37,11,1,1,TRANSIENT
NETBANKING,INSUFFICIENT_FUNDS,10089,1,5,0.12,5,1,0,CUSTOMER_ACTION
CARD,CARD_DECLINED,37826,3,5,0.44,21,1,0,CUSTOMER_ACTION
UPI,INSUFFICIENT_FUNDS,14284,1,4,0.08,5,1,0,CUSTOMER_ACTION
UPI,FRAUD_SUSPECTED,9076,4,3,0.34,10,1,0,RISK
CARD,CARD_DECLINED,25366,4,2,0.16,16,1,0,CUSTOMER_ACTION
NETBANKING,INSUFFICIENT_FUNDS,18301,2,3,0.28,15,1,0,CUSTOMER_ACTION
UPI,INVALID_ACCOUNT,1757,3,3,0.39,11,1,0,PERMANENT
CARD,CARD_DECLINED,11831,1,1,0.23,16,0,0,CUSTOMER_ACTION
UPI,FRAUD_SUSPECTED,24274,3,4,0.46,19,1,0,RISK
CARD,FRAUD_SUSPECTED,2978,3,2,0.32,18,0,1,RISK
UPI,ACCOUNT_BLOCKED,31127,1,0,0.19,19,0,0,PERMANENT
CARD,INSUFFICIENT_FUNDS,7926,1,3,0.32,1,1,0,CUSTOMER_ACTION
NETBANKING,FRAUD_SUSPECTED,40339,1,2,0.42,10,0,1,RISK
CARD,GATEWAY_TIMEOUT,27387,1,0,0.1,16,0,1,TRANSIENT
CARD,BANK_TIMEOUT,3016,3,4,0.11,16,1,0,TRANSIENT
CARD,NETWORK_ERROR,36836,3,0,0.18,18,0,1,TRANSIENT
UPI,BANK_TIMEOUT,12060,1,1,0.17,20,0,0,TRANSIENT
NETBANKING,BANK_TIMEOUT,24645,4,0,0.44,7,1,0,TRANSIENT
UPI,CARD_DECLINED,24958,3,1,0.15,18,1,1,CUSTOMER_ACTION
CARD,INSUFFICIENT_FUNDS,13156,2,2,0.14,14,1,0,CUSTOMER_ACTION
NETBANKING,INVALID_ACCOUNT,23929,3,5,0.27,20,0,0,PERMANENT
NETBANKING,EXPIRED_CARD,37371,2,5,0.22,20,1,0,PERMANENT
UPI,FRAUD_SUSPECTED,33737,2,2,0.12,8,0,0,RISK
UPI,CARD_DECLINED,30721,3,2,0.29,21,0,1,CUSTOMER_ACTION
CARD,GATEWAY_TIMEOUT,617,2,3,0.24,10,0,0,TRANSIENT
UPI,FRAUD_SUSPECTED,30694,2,0,0.23,19,1,1,RISK
UPI,ACCOUNT_BLOCKED,16652,3,4,0.18,21,1,1,PERMANENT
NETBANKING,BANK_TIMEOUT,7168,4,3,0.39,18,1,0,TRANSIENT
CARD,INSUFFICIENT_FUNDS,39215,2,4,0.38,4,1,0,CUSTOMER_ACTION
UPI,NETWORK_ERROR,22782,4,3,0.09,0,0,0,TRANSIENT
CARD,CARD_DECLINED,5367,2,1,0.43,13,0,0,CUSTOMER_ACTION
UPI,CARD_DECLINED,31383,2,2,0.06,17,1,0,CUSTOMER_ACTION
CARD,ACCOUNT_BLOCKED,46383,2,0,0.2,10,0,1,PERMANENT
NETBANKING,FRAUD_SUSPECTED,47965,4,4,0.2,2,1,1,RISK
NETBANKING,BANK_TIMEOUT,11775,2,2,0.19,16,0,1,TRANSIENT
UPI,GATEWAY_TIMEOUT,9149,4,1,0.03,9,1,0,TRANSIENT
NETBANKING,FRAUD_SUSPECTED,11888,4,1,0.15,12,1,0,RISK
UPI,FRAUD_SUSPECTED,10817,4,5,0.26,3,1,0,RISK
NETBANKING,FRAUD_SUSPECTED,26607,1,1,0.17,18,1,1,RISK
NETBANKING,NETWORK_ERROR,44021,4,3,0.39,9,1,1,TRANSIENT
CARD,GATEWAY_TIMEOUT,33003,3,3,0.36,17,1,0,TRANSIENT
NETBANKING,CARD_DECLINED,49881,4,5,0.05,0,1,1,CUSTOMER_ACTION
CARD,CARD_DECLINED,3281,4,2,0.03,15,1,1,CUSTOMER_ACTION
NETBANKING,GATEWAY_TIMEOUT,24302,3,3,0.18,9,0,1,TRANSIENT
CARD,CARD_DECLINED,27432,1,3,0.17,20,0,0,CUSTOMER_ACTION
NETBANKING,FRAUD_SUSPECTED,48510,4,1,0.1,17,0,0,RISK
CARD,CARD_DECLINED,18102,3,3,0.35,7,1,0,CUSTOMER_ACTION
CARD,NETWORK_ERROR,2609,2,4,0.49,20,0,1,TRANSIENT
NETBANKING,NETWORK_ERROR,49203,3,3,0.21,5,1,0,TRANSIENT
UPI,INVALID_CARD,37514,3,2,0.31,17,0,0,PERMANENT
UPI,FRAUD_SUSPECTED,49954,4,2,0.38,5,1,0,RISK
NETBANKING,EXPIRED_CARD,18772,3,0,0.21,0,1,0,PERMANENT
CARD,FRAUD_SUSPECTED,39361,3,0,0.12,0,1,0,RISK
CARD,GATEWAY_TIMEOUT,47820,4,4,0.22,19,1,1,TRANSIENT
CARD,INVALID_CARD,22421,3,2,0.41,4,1,1,PERMANENT
NETBANKING,INSUFFICIENT_FUNDS,25663,3,3,0.03,18,0,1,CUSTOMER_ACTION
UPI,FRAUD_SUSPECTED,49121,3,2,0.15,10,1,1,RISK
NETBANKING,BANK_TIMEOUT,38434,2,4,0.18,13,1,0,TRANSIENT
UPI,FRAUD_SUSPECTED,24694,2,3,0.31,3,0,1,RISK
UPI,INSUFFICIENT_FUNDS,37504,3,1,0.43,23,1,1,CUSTOMER_ACTION
CARD,FRAUD_SUSPECTED,39372,3,2,0.39,20,0,1,RISK
CARD,EXPIRED_CARD,32529,4,2,0.41,14,0,0,PERMANENT
UPI,INVALID_ACCOUNT,35008,3,3,0.33,21,0,1,PERMANENT
CARD,ACCOUNT_BLOCKED,12478,1,4,0.12,19,0,1,PERMANENT
NETBANKING,NETWORK_ERROR,16480,2,4,0.32,21,0,1,TRANSIENT
NETBANKING,GATEWAY_TIMEOUT,42968,4,4,0.26,6,0,1,TRANSIENT
UPI,FRAUD_SUSPECTED,31044,2,2,0.07,2,0,0,RISK
UPI,ACCOUNT_BLOCKED,44905,4,1,0.4,14,0,1,PERMANENT
CARD,INSUFFICIENT_FUNDS,47420,1,0,0.38,21,1,1,CUSTOMER_ACTION
CARD,INVALID_CARD,17141,1,5,0.39,20,0,1,PERMANENT
CARD,INVALID_CARD,26209,1,2,0.21,16,1,1,PERMANENT
UPI,BANK_TIMEOUT,17303,1,5,0.09,13,1,0,TRANSIENT
UPI,CARD_DECLINED,17434,1,2,0.32,2,1,1,CUSTOMER_ACTION
CARD,CARD_DECLINED,19452,4,2,0.4,22,1,1,CUSTOMER_ACTION
UPI,BANK_TIMEOUT,34295,3,0,0.12,11,1,1,TRANSIENT
NETBANKING,FRAUD_SUSPECTED,41642,3,3,0.36,21,1,0,RISK
NETBANKING,INSUFFICIENT_FUNDS,19258,4,2,0.32,0,0,1,CUSTOMER_ACTION
CARD,INSUFFICIENT_FUNDS,23965,4,3,0.31,5,1,0,CUSTOMER_ACTION
